958 1554
1 422 1683
1 517 23030
2 516 18171
3 8 10922
3 448 210
3 472 24635
3 543 30563
3 851 14312
3 929 14376
4 128 21346
4 480 9661
4 567 5676
4 938 13090
5 62 465
5 253 30903
5 770 14907
5 947 16075
6 602 16882
6 915 28603
7 575 26816
8 134 21389
8 347 5007
8 547 22452
8 859 26430
9 38 31095
9 231 13251
9 650 23888
9 667 4427
9 695 15316
9 939 30054
10 342 11053
11 587 3061
12 287 32103
12 766 6315
12 800 32528
12 904 24275
13 251 9017
13 354 20166
13 577 18543
13 680 11274
14 423 23229
14 630 14228
14 654 11921
14 685 18492
14 927 6824
15 228 7552
15 306 32641
15 485 20820
15 741 11040
15 864 7583
16 602 15062
17 588 28708
17 661 16916
17 669 30834
17 778 19455
18 54 14534
18 464 31005
18 759 146
19 514 23763
20 44 8702
20 74 18116
20 773 3509
21 768 17210
22 243 30968
22 254 8102
22 444 31211
22 657 24401
23 104 5994
23 337 21183
23 735 18173
23 814 26557
23 848 26711
23 914 20089
24 274 15949
24 281 18729
24 515 27358
24 564 16764
24 764 20122
24 892 16513
25 185 23459
25 354 394
25 812 4222
25 900 18279
26 663 2341
27 115 21410
27 211 9292
27 460 15386
27 594 10332
27 640 15739
28 44 5559
28 131 32324
28 720 31768
29 774 29447
30 306 26095
31 150 15213
32 228 24581
32 541 7221
32 584 24161
33 44 8156
33 200 8406
33 208 14676
33 286 23468
33 509 31611
33 567 1457
33 786 3165
33 854 20282
33 946 22743
34 840 2442
35 40 22388
35 207 8681
35 501 29525
35 552 28790
35 585 27211
36 103 29505
36 170 14733
37 142 23048
37 211 4873
37 429 5882
37 593 1359
37 681 21956
38 795 16106
39 123 11398
39 237 23885
40 163 11434
40 539 762
40 546 16767
40 825 19460
41 413 5836
41 827 9357
42 149 15077
42 198 7753
42 314 1122
42 340 19972
42 465 26320
42 490 24584
42 505 25801
42 734 20631
42 804 11264
42 833 20715
42 905 9385
43 162 18563
43 796 26675
44 143 17983
44 298 9572
44 852 5343
44 921 4534
45 581 24022
45 779 4277
45 895 23886
46 233 23010
46 780 6994
47 500 18017
48 102 16122
48 189 5541
48 542 7331
49 173 1209
49 185 21231
50 436 29593
51 623 15567
52 266 27877
52 349 11148
52 865 2898
53 293 3191
53 517 27385
54 661 2166
55 160 23165
55 675 28025
55 729 1175
55 780 8428
55 784 20472
55 938 1655
56 140 7281
56 562 24735
56 643 17002
57 427 6713
57 824 29911
58 176 6909
58 470 21494
58 530 12398
58 620 12738
58 841 9049
59 85 24407
59 810 17869
60 100 24553
60 272 4101
60 386 10027
61 513 32599
61 540 14027
61 660 26591
61 665 32189
61 711 18636
62 245 1709
62 510 18574
63 107 20548
63 187 24963
63 685 4052
63 704 15972
63 801 7033
63 827 31162
64 149 15426
64 159 5055
65 115 13276
65 610 17301
66 528 27899
67 200 3992
67 806 24060
68 528 32661
69 119 995
69 307 32065
69 359 29878
69 499 30749
69 620 18779
69 946 26293
70 765 2013
71 254 7981
71 490 589
72 682 13673
72 903 1299
73 235 14860
74 187 6083
74 451 10592
75 137 662
75 352 27935
75 373 16909
75 672 21166
75 681 15031
75 749 17702
75 938 13005
76 85 29816
76 246 7085
77 112 8323
77 313 27880
77 344 11298
77 641 27113
77 761 16783
77 848 21267
78 122 18499
78 132 16616
78 792 2758
78 806 16978
78 821 32011
79 170 31941
79 523 13298
80 162 32666
80 246 15769
80 823 12161
81 459 25433
82 187 9084
82 678 22883
83 239 29989
83 553 21266
84 844 23205
85 94 12865
86 220 16765
86 369 8791
86 923 7648
87 212 17600
87 363 15306
87 398 1576
87 896 1205
88 143 16914
88 209 7841
88 216 28937
88 318 26196
88 789 15615
89 116 27007
89 268 17810
89 539 20719
89 756 10192
89 930 31696
90 97 22846
90 297 13670
90 399 13372
90 944 19449
91 311 4171
91 361 23340
91 657 11296
92 282 30054
92 430 27695
93 625 10375
93 908 137
94 128 7734
94 367 21832
94 793 20492
95 120 27376
95 191 19273
95 561 9142
96 249 7397
96 442 21258
96 492 3529
96 867 20969
97 113 32174
97 762 7266
98 149 17794
98 532 12475
98 886 8408
98 955 16494
99 716 7640
99 850 31681
100 193 1808
100 333 4080
100 804 14191
101 283 12894
101 731 28437
101 933 21307
101 944 4856
102 114 16994
102 270 24865
102 340 23417
102 445 832
102 746 669
103 128 25685
103 141 9408
103 937 6072
104 395 5528
105 816 15561
106 119 6395
106 322 5317
106 759 25260
107 163 20091
107 310 2444
107 441 19776
107 663 5587
107 812 6360
108 412 15555
108 696 24417
109 221 364
109 291 15469
109 368 18384
110 577 23458
110 782 17523
111 419 2464
111 573 3830
111 675 3314
111 691 19189
111 694 18100
112 114 14970
112 449 3462
112 881 26920
113 569 1377
113 718 27107
114 242 23501
114 580 27780
114 707 27003
114 885 16819
115 709 23138
115 876 16134
116 133 10315
116 835 1158
116 901 17030
117 603 3330
117 913 16678
118 296 21911
118 429 14210
118 477 26103
118 557 22453
119 125 19666
119 165 32386
119 355 2282
119 859 21890
120 158 12280
120 246 10868
120 438 25692
120 612 14199
120 722 23921
120 954 21008
121 212 22183
121 390 14963
121 795 5362
122 418 32631
122 537 15042
122 691 7161
122 865 16530
122 931 31901
123 266 32008
123 768 21283
123 791 10676
124 275 14005
124 645 32628
124 671 8475
124 764 17524
124 925 28316
124 953 23455
125 465 31884
125 788 2496
126 206 10444
126 347 14098
126 382 24277
126 487 31163
126 819 761
127 235 24147
127 531 359
127 537 11558
128 307 6450
128 493 29882
128 503 18634
129 245 28866
129 555 23800
129 807 2523
130 541 1622
130 654 25492
130 749 8899
131 728 11475
131 781 24007
131 919 17283
132 525 21813
132 681 14529
133 182 23748
134 183 13580
134 751 15741
134 796 3775
135 169 5121
135 382 2541
135 468 30556
135 653 2821
136 253 32064
136 533 30908
137 214 25075
137 479 24014
137 602 5035
137 786 6433
137 880 26492
138 625 6956
138 758 10255
139 189 31827
139 761 29319
139 804 24226
140 316 14554
140 599 21163
140 766 7054
141 657 24721
141 694 7687
141 848 26659
141 907 17313
141 945 3715
142 334 2630
142 748 12382
142 818 23070
142 958 28925
144 194 29297
144 871 12291
144 877 7568
145 230 23495
145 670 8375
146 214 9702
146 657 7577
146 672 29011
146 908 2235
147 186 18437
148 494 19674
148 954 27495
149 262 19301
149 858 13763
150 732 20573
150 846 26108
150 894 6892
151 260 32663
151 307 4202
152 362 5767
152 551 6277
152 769 2977
152 799 25014
153 206 2605
153 267 25528
153 735 22896
154 457 16320
155 217 19986
155 270 9979
155 448 11836
155 509 18015
155 859 1536
156 574 418
156 588 30423
156 935 2792
157 260 9193
157 290 7063
157 454 31997
158 318 636
158 708 8595
158 712 26738
159 337 18551
159 439 17628
159 786 32305
160 625 16554
161 223 2938
162 508 19277
162 550 13341
162 762 7633
162 863 6923
162 953 31152
163 571 18270
164 273 18211
164 444 7170
164 879 26697
165 310 13351
165 522 24961
165 683 22567
165 786 8873
165 876 16921
165 891 8962
165 903 54
166 780 8328
167 231 31917
167 436 20701
167 526 8090
167 750 31509
167 903 7152
168 675 1177
169 535 28062
169 584 22383
170 212 7465
170 563 26619
170 676 15946
170 926 93
171 413 10707
171 821 13139
172 236 10270
172 278 15509
172 652 23353
173 578 17034
173 579 22887
173 913 4870
174 272 29159
174 339 17985
175 558 10101
175 687 12033
175 804 18302
176 447 8166
177 467 14653
177 805 6465
177 853 20192
178 231 7633
178 335 14377
178 387 19248
178 893 30124
179 412 11615
179 718 21759
179 833 13253
179 870 421
180 269 26270
180 493 23284
180 549 4921
181 452 8126
181 454 18034
181 688 22683
182 203 30055
182 598 5335
182 793 8998
183 216 16382
183 283 8656
183 377 20381
183 795 13273
184 733 23550
185 225 29483
185 307 16751
185 838 13632
185 895 21014
186 549 26139
186 550 21215
186 636 12272
186 730 27536
186 864 29974
187 545 23794
187 643 2540
188 429 11556
188 689 17455
188 885 13907
189 375 12912
189 487 18902
189 556 13154
189 628 10525
190 380 32183
190 840 25921
190 846 15863
191 371 32340
191 602 23241
192 432 29101
192 794 5662
193 205 31650
193 878 9080
194 314 12896
194 883 17809
195 424 10010
195 807 247
196 257 17639
196 371 27178
197 413 8310
197 415 10894
198 218 8113
198 332 4054
198 456 9445
198 577 8906
199 209 1781
199 329 29959
200 273 10172
200 327 24327
200 898 12761
201 298 14230
201 390 15862
202 404 17188
202 448 13400
202 575 13635
202 735 5887
202 786 20439
203 255 25681
203 464 4963
203 568 9603
203 571 27954
203 701 15219
204 891 22736
205 701 9017
206 241 24204
206 434 24250
206 733 6731
207 488 380
207 843 15120
208 272 23606
209 540 13965
209 856 949
209 862 1083
210 357 16626
210 441 27421
210 481 2218
211 297 461
211 560 3244
211 809 1337
211 932 24814
212 280 6144
212 455 32560
212 727 5657
213 442 6939
213 598 19555
213 928 24818
213 948 1749
215 271 10641
215 302 27572
215 470 863
216 310 8924
217 846 14424
219 659 8754
219 765 16386
219 951 18595
220 823 18378
221 326 31530
221 493 4576
221 859 28745
221 910 1337
222 233 25334
222 796 30708
222 939 22326
223 671 13390
223 786 16292
223 958 30233
224 335 18592
224 596 10216
224 720 2285
225 302 26797
225 639 2766
226 634 7555
226 781 28808
226 951 4023
227 336 2253
227 500 32089
227 531 7134
227 815 12420
228 768 29758
228 937 6360
229 231 10018
229 492 21391
229 930 28487
230 539 17665
230 828 19776
230 914 5207
231 297 26124
231 362 6920
231 628 7300
231 715 3012
231 818 23585
231 954 16660
232 451 31058
232 538 11152
233 639 28489
234 524 22422
235 283 28521
235 439 6575
236 376 3672
236 788 12329
236 908 30569
237 546 26354
237 774 29648
237 785 2846
238 698 10551
239 499 12656
239 643 7377
239 930 16559
240 467 29333
240 568 17385
240 885 29190
241 310 28513
241 321 17527
241 889 16924
241 911 4895
242 326 30763
242 652 16606
242 832 26774
243 295 17916
243 552 30395
244 259 27629
244 366 18811
244 454 4929
244 711 2932
244 838 25232
245 323 12139
245 529 32078
245 598 19261
246 320 32672
246 474 1922
246 836 23727
247 412 22784
247 669 29220
247 948 2930
248 589 28842
248 801 15703
249 788 13460
249 800 26723
250 774 4417
251 364 9690
252 339 12696
252 667 13095
252 686 8872
252 733 12851
252 737 6192
253 628 2207
254 265 7611
254 404 1285
254 592 19023
254 641 32708
254 786 10548
255 621 21387
256 322 24577
256 331 11149
256 462 31041
256 954 7406
257 293 11560
257 665 29334
258 395 27123
258 704 13971
258 712 23171
258 873 29590
259 507 31151
259 807 10425
259 840 5674
259 943 24255
260 286 12912
260 354 14822
260 378 3529
261 486 3987
262 272 8670
262 332 1443
262 485 21391
262 879 10013
263 283 6289
263 438 816
263 619 11400
264 286 16922
264 425 3944
264 849 14280
265 916 7942
267 722 23108
267 860 18720
267 874 28120
268 337 22933
268 745 17154
268 915 9230
269 694 30750
269 811 18107
269 853 11571
271 301 17427
271 356 24025
271 825 3013
273 626 23419
274 455 25249
274 737 15915
275 417 12538
275 453 21376
275 672 11445
275 759 30000
276 339 1893
277 340 12086
278 449 31602
278 635 32134
278 818 18916
279 699 30327
280 287 16874
280 691 3352
281 338 14665
281 599 12665
281 662 12624
281 886 4669
281 929 9160
282 759 657
284 405 24116
284 510 10177
285 776 3037
285 847 22402
286 297 13557
286 359 25974
286 599 3356
286 750 12766
287 796 14714
288 602 32586
288 956 9950
289 877 3573
290 291 15967
290 509 18517
290 754 13762
290 880 21751
291 611 22023
291 950 11906
292 559 7159
292 650 19653
292 766 32767
293 831 21393
293 837 26535
293 868 4637
294 366 7272
294 381 30988
294 511 747
294 880 14357
295 304 29105
295 554 16850
296 355 11662
297 317 1267
297 431 32256
297 471 13171
297 485 14535
297 565 588
297 701 15636
297 729 20232
297 756 1330
297 758 13298
297 821 19343
298 325 17890
298 521 28782
298 655 20399
298 888 13807
299 360 356
300 629 17783
300 782 10351
300 826 24005
300 874 1120
301 305 13621
302 630 16235
302 686 2745
303 514 22711
304 860 23097
305 685 11795
305 746 266
306 651 20573
307 409 14306
307 414 27637
307 440 11979
307 474 5134
308 393 13940
308 469 15302
308 613 12952
308 739 26358
309 366 7680
309 367 21171
309 559 27953
309 904 5233
310 474 2707
310 656 6677
311 600 30357
312 511 29092
312 586 27881
312 894 12433
314 647 3441
314 653 28286
315 448 14527
316 336 6316
316 560 29743
317 955 919
318 554 32426
318 591 18523
318 883 28839
319 849 6912
322 460 5566
322 460 26125
324 925 11256
325 462 12008
325 586 31178
325 750 20670
325 851 12476
325 874 18355
326 547 7518
327 375 12626
327 679 26463
328 373 28105
328 721 29803
329 527 12955
329 552 32396
329 786 31174
330 905 22658
331 410 9500
331 734 4317
331 801 18364
333 555 29845
333 864 24832
333 931 5746
335 370 13164
335 624 1874
335 661 3049
335 760 32544
335 882 7519
335 923 26996
336 687 30976
336 839 12771
336 873 10420
337 779 9111
338 439 15913
338 587 23830
339 359 479
339 600 13337
339 626 28556
339 752 6136
339 955 20143
340 625 7778
341 430 12783
