993 1019
1 480 8341
1 583 12687
1 903 7151
2 635 24787
3 649 24569
4 228 4745
4 383 29968
5 225 7195
6 345 21669
6 390 22210
6 523 10338
6 597 21407
7 212 28955
7 805 10362
8 577 19095
8 606 22003
8 779 32749
9 898 9367
10 188 17516
10 197 17184
10 405 10732
10 768 26126
10 782 12818
10 970 18518
11 357 9501
11 926 1539
12 56 10350
12 566 22056
13 107 8555
13 529 3532
14 862 30636
15 55 8259
15 101 13008
15 566 5241
15 984 22032
16 147 21321
16 152 32246
16 177 15154
16 335 23780
16 366 30759
16 764 93
16 935 22560
17 449 9622
17 752 2362
18 79 8786
18 552 28745
19 675 1719
19 740 25666
19 898 12504
19 973 7351
20 579 6859
21 779 14235
22 106 31249
23 613 7923
24 176 31614
24 546 22816
25 862 6770
26 432 20971
27 915 21026
28 164 569
29 79 23194
30 548 24136
30 607 19309
31 917 14133
32 476 25062
33 441 1588
34 984 8679
35 443 24333
36 502 5795
36 747 14103
37 317 21068
38 130 13921
38 598 9110
38 804 23370
38 844 20715
38 950 1333
39 345 2589
39 849 21604
39 906 31700
40 52 18245
40 66 21542
41 824 19302
42 402 24062
42 601 10959
43 53 20936
43 526 25323
44 975 12368
45 52 19307
45 962 18706
46 353 26025
47 393 9298
47 949 17115
48 322 29781
49 489 1704
50 568 12525
51 442 4993
52 198 6108
52 381 26386
52 560 27967
53 109 16439
53 119 16049
53 132 30392
54 847 10892
57 215 26956
57 299 25201
57 830 24055
57 875 24023
57 947 9152
57 993 18684
58 521 23399
58 705 25049
59 252 1857
59 628 28242
59 670 8771
60 498 29877
60 964 31690
61 104 29539
61 206 6920
62 420 18060
62 462 21709
63 499 23166
63 732 7264
63 892 19375
64 289 12085
64 922 5402
65 342 12779
65 433 13696
66 834 26736
67 354 20363
68 474 30336
69 208 26159
69 250 32671
69 686 5244
70 351 19034
71 213 984
71 236 26583
71 388 32116
71 895 21333
72 92 16083
72 405 25600
73 435 21617
73 826 14990
74 647 8194
74 904 6145
75 439 13553
76 343 4314
77 445 2455
77 492 7240
77 603 17574
78 105 30976
79 196 28260
79 381 26966
79 544 28293
79 848 12124
80 342 23318
80 822 23226
81 96 27335
81 191 11854
81 391 31265
81 397 11340
81 658 5626
81 702 2964
82 705 27965
83 848 13013
84 474 30246
85 386 26549
85 493 18988
85 503 17911
86 160 15849
86 788 1074
86 819 1856
87 342 32510
88 783 14860
89 527 11471
89 792 10798
90 506 212
90 595 22027
90 972 30372
91 419 28062
91 784 3148
91 929 18600
93 398 21707
94 596 32684
95 429 23101
96 247 14613
96 898 3979
96 927 1219
97 362 6835
98 527 10337
98 596 20018
98 664 31529
99 279 27024
99 554 21786
100 650 7310
101 205 10828
101 924 2930
102 615 17390
102 745 25634
103 440 24137
104 894 7943
105 129 20615
105 204 2841
105 530 15974
106 614 1672
107 544 15442
108 266 17515
108 639 6424
109 879 18168
110 123 18908
111 753 27862
112 214 19493
113 688 30721
114 693 23925
115 959 18963
116 415 14275
117 847 1901
118 586 7531
118 927 24252
120 175 5454
120 252 14023
120 288 30667
120 407 15015
120 704 31295
120 848 26437
120 899 25110
120 956 5480
121 429 28969
121 753 30658
122 531 19105
123 699 12318
123 922 29169
124 883 9497
125 862 16045
126 660 12089
126 688 31763
127 249 28606
128 163 22938
129 189 3650
129 480 31086
129 724 13121
131 904 12780
131 960 5205
132 441 12422
132 474 12472
133 502 8391
133 585 5032
133 886 28850
134 665 3095
135 926 2765
136 233 39
137 319 31048
138 219 15588
138 280 17234
138 635 13379
139 326 8283
139 504 9251
140 291 19026
140 336 8489
140 888 28906
141 750 2527
142 905 20563
143 780 8031
144 331 19147
145 849 31860
146 214 20586
146 309 18843
146 458 26072
147 502 28181
147 508 31682
147 592 6281
147 655 19723
147 713 7273
148 516 24482
149 264 6360
149 366 17544
150 337 23655
151 581 3494
152 400 23442
153 674 5870
154 184 13634
154 217 13464
154 321 19630
155 486 6576
155 539 19605
156 616 11101
157 299 30147
157 441 19265
157 801 28228
158 301 7420
158 319 7174
158 910 30057
159 491 8209
159 610 15758
160 421 27152
160 497 21654
160 780 25708
160 851 18337
160 898 19203
160 949 25846
161 476 28587
161 669 5947
162 980 20343
163 344 6159
163 545 16449
164 491 20312
164 610 32057
165 213 2610
166 194 21296
167 890 11085
168 201 18799
169 177 23868
170 924 13457
171 434 2061
172 281 32603
172 493 24870
172 761 26308
172 966 21226
172 978 12276
173 514 30062
173 702 22571
174 701 651
177 524 31678
177 714 21705
177 736 253
178 644 23042
179 918 23605
179 972 9060
179 980 28259
180 870 9029
180 932 7896
181 326 28964
182 432 3808
183 641 20229
185 494 31537
186 379 15663
186 503 14934
187 412 30185
188 668 9912
189 479 14307
189 715 24002
190 888 6707
192 865 21264
193 297 29964
193 373 24917
194 502 15881
195 428 23240
196 285 16942
197 287 29191
197 457 14758
197 498 1276
197 600 23547
197 898 25966
199 667 23026
200 962 12112
201 956 16749
202 873 5772
203 748 16773
204 246 22229
207 984 10958
209 403 25373
209 536 11587
209 640 3840
210 392 17865
211 654 3480
212 627 17934
212 992 32503
213 294 21485
213 917 2197
213 948 17281
214 809 9993
215 709 7614
216 558 21414
216 813 10086
217 561 28594
218 635 8031
220 458 9405
221 296 21390
222 268 31618
223 230 7068
223 900 30307
224 599 27008
225 641 1492
225 682 19587
225 869 31139
226 268 17173
227 988 20302
228 979 19603
229 261 18745
229 290 8972
229 749 956
231 502 26445
231 536 7127
231 647 7304
231 726 7466
232 511 32379
232 555 30995
233 599 24420
234 862 23620
235 536 26684
236 377 14816
236 432 28101
236 442 11758
236 688 15209
236 703 28626
236 848 27513
236 930 26569
237 688 16981
237 763 15642
237 779 6125
238 748 14046
238 793 24943
239 365 6523
240 514 2011
241 744 4455
241 824 4640
241 865 19610
242 838 3078
243 323 18239
243 488 22981
